pic_id,easting,northing,altitude,long,lat
6547,756302.326,3739742.276,293.723,-84.23255334,33.766805
6548,756302.458,3739737.351,293.824,-84.23255334,33.7667606
6549,756302.593,3739732.333,293.926,-84.23255334,33.76671536
6550,756302.768,3739727.405,294.028,-84.23255288,33.76667092
6551,756303.015,3739722.395,294.129,-84.23255167,33.76662573
6552,756303.147,3739717.485,294.2,-84.23255167,33.76658146
6553,756303.282,3739712.443,294.231,-84.23255167,33.76653601
6554,756303.367,3739707.484,294.332,-84.23255219,33.76649131
6555,756303.392,3739702.591,294.432,-84.23255334,33.76644723
6556,756303.527,3739697.574,294.5,-84.23255334,33.766402
6557,756303.661,3739692.583,294.533,-84.23255334,33.766357
6558,756303.795,3739687.591,294.632,-84.23255334,33.766312
6559,756303.928,3739682.661,294.733,-84.23255334,33.76626755
6560,756304.059,3739677.793,294.833,-84.23255334,33.76622367
6561,756304.192,3739672.827,294.932,-84.23255334,33.7661789
6562,756304.327,3739667.81,295,-84.23255334,33.76613367
6563,756304.461,3739662.819,295.032,-84.23255334,33.76608867
6564,756304.596,3739657.803,295.133,-84.23255334,33.76604345
6565,756304.731,3739652.761,295.234,-84.23255334,33.765998
6566,756304.865,3739647.784,295.3,-84.23255334,33.76595313
6567,756304.998,3739642.838,295.336,-84.23255334,33.76590854
6568,756305.132,3739637.842,295.438,-84.23255334,33.7658635
6569,756305.266,3739632.865,295.5,-84.23255334,33.76581863
6570,756305.4,3739627.851,295.542,-84.23255334,33.76577343
6571,756305.533,3739622.924,295.645,-84.23255334,33.76572901
6572,756305.666,3739617.973,295.7,-84.23255334,33.76568438
6573,756305.801,3739612.928,295.751,-84.23255334,33.7656389
6574,756305.937,3739607.887,295.8,-84.23255334,33.76559345
6575,756306.07,3739602.912,295.857,-84.23255334,33.7655486
6576,756306.203,3739597.96,295.96,-84.23255334,33.76550396
6577,756306.337,3739592.985,296,-84.23255334,33.76545911
6578,756306.471,3739588.011,296.067,-84.23255334,33.76541426
6579,756306.604,3739583.036,296.1,-84.23255334,33.76536941
6580,756306.734,3739578.198,296.174,-84.23255334,33.7653258
6581,756306.866,3739573.295,296.2,-84.23255334,33.7652816
6582,756307,3739568.32,296.28,-84.23255334,33.76523675
6583,756307.263,3739563.349,296.3,-84.23255194,33.7651919
6584,756307.422,3739558.375,296.388,-84.23255167,33.76514705
6585,756307.556,3739553.375,296.492,-84.23255167,33.76510198
